Код домена,Домен,Код зоны (M49),Зона,Код элемента,Элемент,Код позиции (CPC),Позиция,Код года,Год,Source Code,Source,Единица,Значение,Метка,Описание метки,Примечание
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1961","1961","3050","FAO TIER 1","kt","12.4759","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1962","1962","3050","FAO TIER 1","kt","11.0322","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1963","1963","3050","FAO TIER 1","kt","9.55","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1964","1964","3050","FAO TIER 1","kt","8.0279","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1965","1965","3050","FAO TIER 1","kt","6.5508","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1966","1966","3050","FAO TIER 1","kt","5.4792","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1967","1967","3050","FAO TIER 1","kt","4.8969","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1968","1968","3050","FAO TIER 1","kt","4.4014","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1969","1969","3050","FAO TIER 1","kt","3.8747","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1970","1970","3050","FAO TIER 1","kt","2.8432","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1971","1971","3050","FAO TIER 1","kt","2.5564","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1972","1972","3050","FAO TIER 1","kt","1.9984","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1973","1973","3050","FAO TIER 1","kt","1.5419","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1974","1974","3050","FAO TIER 1","kt","1.2955","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1975","1975","3050","FAO TIER 1","kt","0.8391","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1976","1976","3050","FAO TIER 1","kt","0.7116","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1977","1977","3050","FAO TIER 1","kt","0.6134","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1978","1978","3050","FAO TIER 1","kt","0.4929","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1979","1979","3050","FAO TIER 1","kt","0.4323","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1980","1980","3050","FAO TIER 1","kt","0.4499","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1981","1981","3050","FAO TIER 1","kt","0.4597","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1982","1982","3050","FAO TIER 1","kt","0.4538","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1983","1983","3050","FAO TIER 1","kt","0.4753","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1984","1984","3050","FAO TIER 1","kt","0.4714","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1985","1985","3050","FAO TIER 1","kt","0.4499","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1986","1986","3050","FAO TIER 1","kt","0.4401","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1987","1987","3050","FAO TIER 1","kt","0.4264","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1988","1988","3050","FAO TIER 1","kt","0.4205","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1989","1989","3050","FAO TIER 1","kt","0.4342","E","Estimated value",""
"GLE","Выбросы от животноводства","392","Япония","72441","Livestock total (Emissions CH4)","02131","Лошади","1990","1990","3050","FAO TIER 1","kt","0.4518","E","Estimated value",""
